"x","y","shape","color","size","border_color","border_width","alpha","width_height_ratio","orientation","lavaan","network","locked"
11.1134833706835,25,"rectangle","#E68063",16,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
28.1403277302981,13.6659201547161,"rectangle","#E68063",16,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
32,-3.69889761197691,"rectangle","#E68063",16,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
20.8865166293165,-18.9692620785908,"rectangle","#E68063",16,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
7.105427357601e-15,-25,"rectangle","#E68063",16,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
-20.8865166293165,-18.9692620785908,"rectangle","#E68063",16,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
-32,-3.69889761197693,"rectangle","#E68063",16,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
-28.1403277302982,13.6659201547161,"rectangle","#E68063",16,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
-11.1134833706836,25,"rectangle","#E68063",16,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
9.38010924343271,5.0734934536681,"oval","#2186B8",20,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
0,-7.81514659790394,"oval","#2186B8",20,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
-9.38010924343272,5.07349345366809,"oval","#2186B8",20,"#FFFFFF",1,1,1.6,0,TRUE,FALSE,TRUE
